Epoch [50/500], TrainLoss: 0.1173, TestLoss: 0.0993
Epoch [100/500], TrainLoss: 0.0931, TestLoss: 0.0837
Epoch [150/500], TrainLoss: 0.0796, TestLoss: 0.0796
Epoch [200/500], TrainLoss: 0.0707, TestLoss: 0.0739
Epoch [250/500], TrainLoss: 0.0647, TestLoss: 0.0663
Epoch [300/500], TrainLoss: 0.0597, TestLoss: 0.0711
Epoch [350/500], TrainLoss: 0.0566, TestLoss: 0.0623
Epoch [400/500], TrainLoss: 0.0539, TestLoss: 0.0644
Epoch [450/500], TrainLoss: 0.0512, TestLoss: 0.0651
Epoch [500/500], TrainLoss: 0.0491, TestLoss: 0.0627
