Epoch [50/500], TrainLoss: 0.1240, TestLoss: 0.1279
Epoch [100/500], TrainLoss: 0.0769, TestLoss: 0.0807
Epoch [150/500], TrainLoss: 0.0575, TestLoss: 0.0618
Epoch [200/500], TrainLoss: 0.0469, TestLoss: 0.0512
Epoch [250/500], TrainLoss: 0.0401, TestLoss: 0.0443
Epoch [300/500], TrainLoss: 0.0354, TestLoss: 0.0396
Epoch [350/500], TrainLoss: 0.0318, TestLoss: 0.0360
Epoch [400/500], TrainLoss: 0.0290, TestLoss: 0.0330
Epoch [450/500], TrainLoss: 0.0267, TestLoss: 0.0308
Epoch [500/500], TrainLoss: 0.0249, TestLoss: 0.0288
